研报名称,机构名称,发布时间,行业,研报地址
大消费：曙光初现：消费品出口轮动复苏开启！,国投证券,2024-01-30,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401301619514761_1.pdf?1706638051000.pdf
商业贸易行业周报：春节将至，动能催化，期待花开,华福证券,2024-01-30,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401301619491109_1.pdf?1706597336000.pdf
商贸零售周报：商务部提出措施继续培育跨境电商外贸新动能,首创证券,2024-01-30,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401301619500303_1.pdf?1706625025000.pdf
化妆品毒理检测 头豹词条报告系列,头豹研究院,2024-01-30,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401301619525485_1.pdf?1706644015000.pdf
商社周报：23Q4基金重仓环比减配，板块配置机遇凸显,德邦证券,2024-01-29,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401291619252401_1.pdf?1706520370000.pdf
商贸零售行业周报：江苏吴中爱塑美获批上市，关注高景气再生类赛道,开源证券,2024-01-29,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401291619252452_1.pdf?1706542451000.pdf
电商深度研究系列四：TikTok Shop美区出海正当时,国信证券,2024-01-29,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401291619253768_1.pdf?1706537207000.pdf
商贸零售行业周报：商务部支持跨境电商发展新动能，Temu推出半托管模式,上海证券,2024-01-29,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401291619253774_1.pdf?1706517966000.pdf
折扣零售系列报告一：零售革新风正起，折扣经济千帆竞,天风证券,2024-01-29,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401291619253801_1.pdf?1706536539000.pdf
零售行业：近期多家公司发布业绩预增公告，维持推荐优质零售公司,中国银河,2024-01-29,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202401291619276667_1.pdf?1706548344000.pdf
