研报名称,机构名称,发布时间,行业,研报地址
建筑材料行业深度报告：居住产业链2023Q4获公募基金减仓，进入2024年后相对收益表现突出,东吴证券,2024-01-30,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401301619514877_1.pdf?1706632731000.pdf
建筑材料行业周观点：房企融资端政策加码，关注政策端催化带来的估值修复机会,万联证券,2024-01-30,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401301619498996_1.pdf?1706610415000.pdf
建筑材料行业周报：地产利好政策密集出台，关注相关建材板块需求修复,华龙证券,2024-01-30,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401301619499055_1.pdf?1706607872000.pdf
建筑材料行业周报：地产政策密集出台，行业现金流有望改善,华安证券,2024-01-30,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401301619510418_1.pdf?1706626616000.pdf
建材建筑周观点：“跟地走”发力，重点是消费建材低估筹码,民生证券,2024-01-29,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401281619247801_1.pdf?1706517667000.pdf
建筑材料周观点：降准+广州限售政策再放松，“小阳春”或可期,德邦证券,2024-01-29,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401291619252400_1.pdf?1706614066000.pdf
建筑材料行业研究周报：板块配置跌至近年新低，政策加持有望催化预期修复,天风证券,2024-01-29,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401291619253790_1.pdf?1706621696000.pdf
建筑材料行业周报：地产政策再宽松&广州再放限购，关注建材底部机会,开源证券,2024-01-29,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401291619254442_1.pdf?1706519391000.pdf
建筑材料行业跟踪报告：基金持仓环比下降，关注需求端政策催化,万联证券,2024-01-29,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401291619254452_1.pdf?1706522664000.pdf
建材行业周报：利好政策接连出台，市场预期或逐渐稳定,中银证券,2024-01-29,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401291619273840_1.pdf?1706546861000.pdf
建筑材料行业周报：各城市因地制宜调整地产政策，建材行业需求有望回升,中国银河,2024-01-29,水泥建材,https://pdf.dfcfw.com/pdf/H3_AP202401291619282071_1.pdf?1706569584000.pdf
