研报名称,机构名称,发布时间,行业,研报地址
机械行业周报：市值管理纳入考核，关注央国企价值重塑,华龙证券,2024-01-30,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619500257_1.pdf?1706607677000.pdf
机械设备行业周报：市值管理纳入央企业绩考核，CME预估1月挖机销量1.12万台,中国银河,2024-01-30,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619518426_1.pdf?1706636565000.pdf
行业跟踪：先进制造产业链核心数据跟踪,川财证券,2024-01-30,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619519742_1.pdf?1706638569000.pdf
冷库 头豹词条报告系列,头豹研究院,2024-01-30,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401301619525489_1.pdf?1706644210000.pdf
机器人行业周报：国产电驱人形机器人实现空翻动作，均普人形机器人首次亮相,西南证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619253806_1.pdf?1706527347000.pdf
机械设备行业双周报：12月工业机器人产量增速回正,东莞证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619254432_1.pdf?1706529079000.pdf
机械设备行业周报：携中国制造优势，出海寻求多元化收益,开源证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619254448_1.pdf?1706622285000.pdf
机械设备行业周报：看好机械企业在全球市场的竞争力提升,华安证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619274759_1.pdf?1706546973000.pdf
先进制造产业链核心数据跟踪,川财证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619276693_1.pdf?1706549308000.pdf
阀门 头豹词条报告系列,头豹研究院,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619283943_1.pdf?1706560531000.pdf
机械周报：2023年风电装机量超预期,德邦证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619251597_1.pdf?1706612030000.pdf
机械行业研究周报：国企改革发力，关注“大国重器”,国金证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619251633_1.pdf?1706511621000.pdf
机械设备行业周报：市值管理下机械设备央国企公司梳理,华福证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619251704_1.pdf?1706511737000.pdf
机械行业2024年度投资策略：关注顺周期、自主可控和新趋势带来的机会,首创证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619251735_1.pdf?1706538177000.pdf
机械设备行业深度研究：MR：Vision Pro上市前夜，空间计算开启iphone时刻？蓝海市场开启，设备投资先行,天风证券,2024-01-29,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202401291619251754_1.pdf?1706541013000.pdf
