研报名称,机构名称,发布时间,行业,研报地址
寻找中国保险的Alpha系列之二：成本下行，利差改善与价值重估,国信证券,2025-06-25,保险,https://pdf.dfcfw.com/pdf/H3_AP202506251697513346_1.pdf?1750887924000.pdf
保险2025中期策略：新准则下估值体系将重塑，重视保险股价值重估机会！,国金证券,2025-06-23,保险,https://pdf.dfcfw.com/pdf/H3_AP202506231695968221_1.pdf?1750668028000.pdf
保险行业2025年中期投资策略：从业绩分化到资负协同，重视保险α和β双击机会,民生证券,2025-06-22,保险,https://pdf.dfcfw.com/pdf/H3_AP202506221695407851_1.pdf?1750589563000.pdf
养老保险体系研究（七）：中国的养老保险基金：投资管理现状与前景展望,平安证券,2025-06-17,保险,https://pdf.dfcfw.com/pdf/H3_AP202506171692442304_1.pdf?1750154853000.pdf
保险Ⅱ行业点评报告：非上市险企2026年执行新准则，预计险资增配OCI股票趋势将延续,东吴证券,2025-06-13,保险,https://pdf.dfcfw.com/pdf/H3_AP202506121689801165_1.pdf?1749799249000.pdf
2024年中国互联网保险消费者洞察报告,清华大学五道口金融学院,2025-06-06,保险,https://pdf.dfcfw.com/pdf/H3_AP202506061685698490_1.pdf?1749200701000.pdf
保险行业研究框架,国金证券,2025-06-06,保险,https://pdf.dfcfw.com/pdf/H3_AP202506061685946977_1.pdf?1749245644000.pdf
保险行业点评：寿险累计增速转正，财险多险种共振支撑增长,民生证券,2025-06-02,保险,https://pdf.dfcfw.com/pdf/H3_AP202506011683036500_1.pdf?1748860052000.pdf
保险行业4月月报：寿险保费持续复苏，财险业务增速稳健,东吴证券,2025-05-30,保险,https://pdf.dfcfw.com/pdf/H3_AP202505301681956369_1.pdf?1748641054000.pdf
2025年一季度保险业资金运用情况点评：风险偏好提升，权益增量持续,国信证券,2025-05-23,保险,https://pdf.dfcfw.com/pdf/H3_AP202505231677578264_1.pdf?1747990421000.pdf
国新办介绍科技金融政策情况发布会点评：科技与金融的“双向奔赴”,国信证券,2025-05-23,保险,https://pdf.dfcfw.com/pdf/H3_AP202505231677617083_1.pdf?1747997119000.pdf
保险资产管理业创新型产品季度观察与展望：2025年一季度，保债计划大幅下降，中保登ABS迅速扩容，资产证券化业务或将弥补整体下行趋势,中诚信国际,2025-05-20,保险,https://pdf.dfcfw.com/pdf/H3_AP202505201675949061_1.pdf?1747751468000.pdf
