研报名称,机构名称,发布时间,行业,研报地址
光伏行业周报（20260817-20260821）,国新证券股份,2026-09-01,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202609011828844330_1.pdf?1788246327000.pdf
2026年中国硅光光模块行业概览：CAGR超40%，全球硅光模块开启百亿美元远期市场空间,头豹研究院,2026-08-26,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608261828494516_1.pdf?1787773148000.pdf
光伏行业周报（20260810-20260814）,国新证券股份,2026-08-23,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608231828337063_1.pdf?1787477100000.pdf
区域化储能供热促进新能源消纳的示范路径：风光温暖千家万户,哈尔滨工业大学(威海),2026-08-18,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608181828119570_1.pdf?1787132622000.pdf
光伏行业周报,国新证券股份,2026-08-14,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608141827970828_1.pdf?1786704521000.pdf
光伏行业周报,国新证券股份,2026-08-11,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608111827833539_1.pdf?1786432045000.pdf
光伏产业链：八大多晶硅企业签署《反内卷倡议书》,国投证券(香港),2026-08-11,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608111827845472_1.pdf?1786442888000.pdf
电力设备与新能源行业研究：Rubin放量与北美缺电预期再强化，光伏反内卷“这次不一样”,国金证券,2026-08-10,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608101827803027_1.pdf?1786371956000.pdf
光伏行业周报（20260720-20260724）,国新证券股份,2026-08-06,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608061827692432_1.pdf?1786000918000.pdf
《SINOVOLTAICS光伏组件制造商排名报告》2026年第三版,Sinovoltaics Group Limited,2026-08-02,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202608011827561155_1.pdf?1785680237000.pdf
电力设备行业研究周报：可再生能源“十五五”规划开启高质量发展新范式,申港证券,2026-07-30,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607301827474729_1.pdf?1785403373000.pdf
2026年光伏中期策略报告：产业持续磨底，供给侧静待优化,东吴证券,2026-07-28,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607281827429646_1.pdf?1785309849000.pdf
光伏行业周报,国新证券股份,2026-07-27,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607271827361853_1.pdf?1785137409000.pdf
电力设备与新能源行业研究：宁王振臂、政策助力，新能源吹响反攻号角,国金证券,2026-07-27,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607271827372246_1.pdf?1785144364000.pdf
电力设备：《能源领域节能降碳行动计划（2026—2028年）》发布，有望加速推动核能的多元化应用,中邮证券,2026-07-24,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607241827321174_1.pdf?1784916238000.pdf
电力设备：光伏各环节能耗标准收紧，产能出清速度有望进一步加快,中邮证券,2026-07-23,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607231827290079_1.pdf?1784827684000.pdf
光伏行业周报,国新证券股份,2026-07-19,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607191827100868_1.pdf?1784441223000.pdf
光伏行业周报（20260706-20260710）,国新证券股份,2026-07-19,光伏设备,https://pdf.dfcfw.com/pdf/H3_AP202607191827100960_1.pdf?1784441420000.pdf
