研报名称,机构名称,发布时间,行业,研报地址
其他电源设备Ⅱ行业点评报告：氢能应用试点下发，“十五五”有望跑通商业化,开源证券,2026-03-17,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603171820594724_1.pdf?1773756393000.pdf
电力能源行业周报,英大证券,2026-03-17,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603171820605466_1.pdf?1773782945000.pdf
电力设备行业周报：Token调用激增，风电出海补位欧洲能源缺口,华鑫证券,2026-03-16,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603161820576525_1.pdf?1773677783000.pdf
近期风电招中标情况更新,国新证券股份,2026-03-12,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603121820506058_1.pdf?1773299321000.pdf
近期风电招中标情况更新,国新证券股份,2026-03-12,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603121820526589_1.pdf?1773349637000.pdf
电力设备行业点评报告：CSP自主供电协议落地&北美特高压规划超预期，聚焦电网设备_燃机_高压直流电源三大主线,东吴证券,2026-03-09,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603091820405871_1.pdf?1773059061000.pdf
电力设备2026年政府工作报告学习体会：“十五五”重点关注未来能源投资机会,中银证券,2026-03-06,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603061820335985_1.pdf?1772804124000.pdf
东盟能源2026：关键洞察与前瞻性观点关于区域,东南亚国家联盟,2026-03-05,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603041820272895_1.pdf?1772701924000.pdf
海外户储专题：澳洲欧洲引领新增长，多维布局龙头重拾成长,东吴证券,2026-03-02,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603021820173355_1.pdf?1772446608000.pdf
2025年中国PoE电源行业研究报告,头豹研究院,2026-03-02,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603021820194269_1.pdf?1772483468000.pdf
2026年充电桩行业展望：从规模扩张到高质量发展,大公国际资信评估,2026-02-15,其他电源设备Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202602141819936341_1.pdf?1771147468000.pdf
