研报名称,机构名称,发布时间,行业,研报地址
农林牧渔：Q1母猪去化，Q2望加速，重视猪周期配置机会,中航证券,2026-04-20,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604201821327406_1.pdf?1776680720000.pdf
农林牧渔行业周报：猪价低位反弹难掩前端压力，能繁边际松动但去化仍待确认,开源证券,2026-04-19,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604191821322455_1.pdf?1776628131000.pdf
农林牧渔行业周报：生猪价格底部反弹，关注动物疫病风险,国金证券,2026-04-19,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604191821322676_1.pdf?1776631561000.pdf
农林牧渔行业：南非一型口蹄疫传入，关注畜牧业供给收缩和疫苗进展,东兴证券,2026-04-16,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604161821255837_1.pdf?1776341676000.pdf
农林牧渔行业周报：猪价新低、周期拐点将近，农产品宏观逻辑中长期稳固,华源证券,2026-04-14,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604141821169874_1.pdf?1776172552000.pdf
农林牧渔：猪价破9、疫情扰动，重视猪周期配置机会,中航证券,2026-04-14,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604141821187858_1.pdf?1776189654000.pdf
农林牧渔行业周报：生猪供给压力犹存，猪价持续承压,国金证券,2026-04-13,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604131821144016_1.pdf?1776066886000.pdf
农林牧渔行业周报：短期猪价仍受均重扰动，产能去化信号仍待观察,开源证券,2026-04-13,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604131821144309_1.pdf?1776069063000.pdf
农业行业周报：猪价进一步下跌至历史低位，生猪养殖亏损幅度加大,山西证券,2026-04-13,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604131821156404_1.pdf?1776103659000.pdf
农林牧渔行业周报：猪价持续下探，产能去化或加速,中邮证券,2026-04-09,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604091821103462_1.pdf?1775776001000.pdf
农林牧渔专题：如何看当前的猪周期配置机会？,中航证券,2026-04-07,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604061821031904_1.pdf?1775548671000.pdf
农林牧渔行业周报：猪价持续新低，农产品宏观逻辑强支撑,华源证券,2026-04-07,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604071821038894_1.pdf?1775570628000.pdf
农林牧渔：南非1型口蹄疫影响分析及展望-新型口蹄疫病毒首次由境外传入我国，有望催化牛猪大周期反转,国信证券,2026-04-07,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604071821040643_1.pdf?1775574683000.pdf
农林牧渔行业周报：清明备货难改供给宽松格局，仔猪亏损加深悲观预期加速释放,开源证券,2026-04-06,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604061821030457_1.pdf?1775494238000.pdf
农林牧渔行业周报：猪价持续低迷，关注产业疫病影响,国金证券,2026-04-06,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604061821031287_1.pdf?1775504793000.pdf
农产品研究跟踪系列报告（201）：肉牛价格维持涨势，仔猪价格加速下行有望推动产能去化,国信证券,2026-04-06,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604061821031435_1.pdf?1775508740000.pdf
农林牧渔行业双周报：商务部等部门开展中央储备冻猪肉收储,东莞证券,2026-04-03,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604031821014906_1.pdf?1775239558000.pdf
农产品研究跟踪系列报告（200）：生猪行业重回深度亏损，市场化去产能有望与政策调控共振,国信证券,2026-04-02,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604021820970841_1.pdf?1775119163000.pdf
农业行业周报：猪价延续跌势，生猪行业亏损压力加大,山西证券,2026-04-02,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202604021820971229_1.pdf?1775120357000.pdf
中国生猪行业研究：成本下行遇上产能调控，生猪行业盈利拐点何时到来？（精华版）,头豹研究院,2026-03-31,养殖业,https://pdf.dfcfw.com/pdf/H3_AP202603311820922335_1.pdf?1774987267000.pdf
