研报名称,机构名称,发布时间,行业,研报地址
肯尼亚豆类市场——趋势与新兴市场机遇,美国农业部天然产物利用研究所,2026-08-21,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202608211828234417_1.pdf?1787300142000.pdf
农产品研究跟踪系列报告（217）：供给收紧推动牛肉加速上行，超强厄尔尼诺发生概率维持上升,国信证券,2026-08-18,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202608181828083822_1.pdf?1787042207000.pdf
农小蜂全国农产品批发市场价格行情监测周报（2026年第31周）,云南唯恒投资,2026-08-13,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202608131827920415_1.pdf?1786606864000.pdf
2026宠物主粮行业简析报告,上海嘉世营销咨询,2026-08-06,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202608061827692819_1.pdf?1786003431000.pdf
「宠物干粮」2026年5月市场月度报告,蔚云出海(广州)企业咨询,2026-07-28,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202607281827415864_1.pdf?1785254208000.pdf
农小蜂全国农产品批发市场价格行情监测周报（2026年第26周）,合肥农小蜂数字科技,2026-07-08,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202607081826790349_1.pdf?1783503138000.pdf
全国玉米价格行情监测周报2026年第25周,合肥农小蜂数字科技,2026-07-05,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202607041826721851_1.pdf?1783245805000.pdf
农小蜂全国农产品批发市场价格行情监测周报（2026年第25周）,合肥农小蜂数字科技,2026-07-01,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202607011826626879_1.pdf?1782916040000.pdf
中国牛油果进出口市场动态监测月报2026年05月,合肥农小蜂数字科技,2026-06-24,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202606241823810006_1.pdf?1782319630000.pdf
2026年世界渔业和水产养殖状况：蓝色转型：化愿景为实效,联合国粮食及农业组织,2026-06-24,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202606241823810173_1.pdf?1782320357000.pdf
全国玉米价格行情监测周报2026年第22周,合肥农小蜂数字科技,2026-06-14,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202606131823545095_1.pdf?1781432843000.pdf
农小蜂全国农产品批发市场价格行情监测周报,云南唯恒投资,2026-04-29,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202604291821779759_1.pdf?1777500203000.pdf
SAT疫情发酵与疫苗干预下的生猪产能去化及拐点前瞻：SAT疫情推演猪价：5-7月抛压寻底加速去化，Q4至明年Q1迎反转,华鑫证券,2026-04-28,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202604281821696330_1.pdf?1777408127000.pdf
菜价行情周报2026年第15期,云南唯恒投资,2026-04-17,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202604171821280036_1.pdf?1776410958000.pdf
农产品研究跟踪系列报告（202）：仔猪价格加速探底，叠加口蹄疫疫情扰动，有望催化牛猪大周期反转,国信证券,2026-04-14,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202604141821166985_1.pdf?1776157726000.pdf
Flywheel2026宠物行业趋势：宠遇新消费-从“养宠”到“家人”：宠物行业迎来新时代、新需求,飞未云科(深圳)技术,2026-04-13,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202604121821138879_1.pdf?1776066215000.pdf
农小蜂全国农产品批发市场价格行情监测周报（2026年第9周）,合肥农小蜂数字科技,2026-03-12,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202603121820527438_1.pdf?1773391171000.pdf
肉奶周期共振，盈利改善可期,东海证券,2026-03-04,农产品加工,https://pdf.dfcfw.com/pdf/H3_AP202603041820273958_1.pdf?1772660681000.pdf
