研报名称,机构名称,发布时间,行业,研报地址
医药日报：再生元Eylea HD获FDA批准新适应症，用于RVO,太平洋,2025-11-23,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511221786305918_1.pdf?1763892394000.pdf
医药生物行业2026年度策略报告：寻找医药硬科技，从新出发,中国银河,2025-11-23,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511221786311934_1.pdf?1763893293000.pdf
医药日报：拜耳小分子疗法Sevabertinib获FDA批准,太平洋,2025-11-21,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511211785463478_1.pdf?1763730233000.pdf
医药行业产业研究周报：CNPV优先审评卷出天际，细胞基因疗法进军慢病再拓空间,国金证券,2025-11-20,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511201784724061_1.pdf?1763624938000.pdf
医药日报：强生将以超30亿美元收购Halda，囊获RIPTAC疗法,太平洋,2025-11-20,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511201784731219_1.pdf?1763626146000.pdf
视界守护战--从人工泪液到靶向抗炎：中国干眼症药物市场的双轨竞合与创新跃迁 头豹词条报告系列,头豹研究院,2025-11-20,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511201785036391_1.pdf?1763669920000.pdf
医药日报：Arrowhead新药Redemplo获美国FDA批准,太平洋,2025-11-20,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511201785074112_1.pdf?1763673757000.pdf
中国抗ED药行业调研简报｜2025_08：行业洞察：盐酸司美那非片与盐酸妥诺达非片获批上市，抗ED药赛道再添猛将,头豹研究院,2025-11-19,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511191784411204_1.pdf?1763582022000.pdf
医药日报：Alixorexton二期临床成功，用于治疗IH,太平洋,2025-11-18,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511181783572372_1.pdf?1763470992000.pdf
自免双抗：临床高效推进，交易与研发热度持续,中邮证券,2025-11-18,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511181783618584_1.pdf?1763473186000.pdf
医药行业研究：GLP-1专题，产品迭代驱动市场扩容，关注靶点、剂型及联合疗法研发进展,国金证券,2025-11-18,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511181783710755_1.pdf?1763485393000.pdf
创新药行业复盘：创新出海2.0：BD之后，我们应该关注什么,国信证券,2025-11-17,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511171782859975_1.pdf?1763369432000.pdf
医药行业周报：关注原料药中价格触底反弹品种,华鑫证券,2025-11-17,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511171782854331_1.pdf?1763368715000.pdf
医药行业2025Q3总结报告：CXO及科研服务收入持续高增长，有望延续,东吴证券,2025-11-17,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511171783143924_1.pdf?1763409746000.pdf
2025年中国过敏性疾病药物行业系列报告（三）：精准医疗时代慢性自发性荨麻疹药物靶向治疗新突破,头豹研究院,2025-11-17,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511171783151582_1.pdf?1763410190000.pdf
医药行业周报：板块放量反弹，期待年底催化行情,太平洋,2025-11-17,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511171783108572_1.pdf?1763402187000.pdf
医药日报：Kura小分子Komzifti获FDA批准,太平洋,2025-11-16,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511161782371989_1.pdf?1763305646000.pdf
小核酸行业专题：从罕见病到慢性病，打开千亿市场空间,华源证券,2025-11-16,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511161782580546_1.pdf?1763371751000.pdf
医药日报：礼来Eloralintide二期临床成功，用于减重,太平洋,2025-11-14,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511141781128662_1.pdf?1763128561000.pdf
2024年化学制药行业经济运行报告,中国化学制药工业协会,2025-11-14,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511131780701686_1.pdf?1763114052000.pdf
医药日报：诺华瑞米布替尼获FDA批准上市，用于治疗CSU,太平洋,2025-11-12,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511121779943984_1.pdf?1762963818000.pdf
医药生物行业2026年上半年投资策略：业绩有所承压 关注细分景气方向,东莞证券,2025-11-12,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511121779969568_1.pdf?1762967130000.pdf
医药日报：Vera在研新药Atacicept三期临床成功，用于IgAN,太平洋,2025-11-11,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511111779285618_1.pdf?1762873724000.pdf
10月全球新药月报-数据篇,杭州联科美讯生物医药技术,2025-11-11,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511111779452137_1.pdf?1762895578000.pdf
医药生物行业2025年11月投资策略：关注器械及药房板块的低估值反转标的,国信证券,2025-11-11,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511111779469370_1.pdf?1762897505000.pdf
2025年三季度医药行业业绩总结：药品产业链持续景气，医院端运营相关标的业绩承压,华安证券,2025-11-10,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511101778634586_1.pdf?1762783802000.pdf
医药日报：强生小分子疗法Caplyta再获FDA批准,太平洋,2025-11-10,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511101778729590_1.pdf?1762794239000.pdf
赋能中型制药企业，提供整合药物开发、监管策略和人工智能创新的解决方案,艾昆纬,2025-11-08,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511081777390755_1.pdf?1762615803000.pdf
医药行业2025三季报总结，月报25_10：行业经营分化，医药持仓持续回升,中国银河,2025-11-07,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511071776719376_1.pdf?1762512903000.pdf
医药日报：赛诺菲靶向纳米抗体新药Cablivi在华获批,太平洋,2025-11-07,化学制药,https://pdf.dfcfw.com/pdf/H3_AP202511071776792644_1.pdf?1762524620000.pdf
