研报名称,机构名称,发布时间,行业,研报地址
大消费行业周报（2月第1周）：海南“零关税”向居民普惠,世纪证券,2026-02-09,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602091819841076_1.pdf?1770675036000.pdf
2026年1月飞瓜抖音电商行业营销月报,飞瓜数据,2026-02-08,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602071819822672_1.pdf?1770567614000.pdf
批发和零售贸易行业研究：春节假期延长释放出行需求，建议关注服务类消费催化,国金证券,2026-02-08,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602081819824502_1.pdf?1770560850000.pdf
耐用消费产业行业研究：国际烟草巨头财报频出，泡泡年会更新，苹果官宣AI硬件布局,国金证券,2026-02-08,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602081819824605_1.pdf?1770563133000.pdf
新消费行业周报：黄山旅游拟投资5.3亿元用于酒店项目；2025年1月天猫美妆销售同比增长24%,华源证券,2026-02-08,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602081819824405_1.pdf?1770557408000.pdf
商贸零售行业周报：美团拟收购叮咚买菜，打造即时零售供应链优势,开源证券,2026-02-08,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602081819824994_1.pdf?1770570478000.pdf
新消费行业周报：泡泡玛特“星星人”新款热销，关注潮玩消费与AI+消费,上海证券,2026-02-08,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602081819825376_1.pdf?1770576755000.pdf
春节消费趋势：适度消费成主流，财务安全感决定消费选择,58安居客房产研究院,2026-02-07,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602071819822656_1.pdf?1770566400000.pdf
跨境出海周度市场观察第5周,艾瑞股份,2026-02-06,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602061819815698_1.pdf?1770415374000.pdf
2026年商社美护行业年度策略：布局服务消费，掘金新消费,国元证券,2026-02-04,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602041819766126_1.pdf?1770216804000.pdf
商社美护行业周报：国务院印发《加快培育服务消费新增长点工作方案》，HBN母公司港交所递表,国元证券,2026-02-04,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602041819766117_1.pdf?1770216101000.pdf
商贸零售悦己消费产业链研究之银发经济：社会结构演进及政策加码支持，银发悦己需求快速扩容,国信证券,2026-02-03,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602031819539251_1.pdf?1770112263000.pdf
中国餐饮行业：竞争格局边际改善有望提升部分玩家2026年利润率预期，首推瑞幸与百胜中国,浦银国际证券,2026-02-03,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602031819611657_1.pdf?1770136310000.pdf
商贸零售行业2月投资策略：金价波动不改金饰龙头长期逻辑，AI+赋能代运营商业务破局,国信证券,2026-02-03,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602031819616260_1.pdf?1770136213000.pdf
中国奢侈品市场：迈向审慎复苏之路-奢侈品潜在消费人群购买行为前瞻,科尔尼,2026-02-03,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602031819645587_1.pdf?1770153150000.pdf
批发和零售贸易行业研究：金价波动不减购买热情，看好春节旺季高端消费,国金证券,2026-02-02,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602021819251971_1.pdf?1770021955000.pdf
耐用消费产业行业研究：家居预期曙光初现，泡泡名创密集催化,国金证券,2026-02-02,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602021819252277_1.pdf?1770022579000.pdf
大消费行业周报（1月第4周）：《方案》催化服务消费提质扩容,世纪证券,2026-02-02,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602021819340554_1.pdf?1770049510000.pdf
2025年度消费榜单：从指数看趋势，解码消费新浪潮,值得买,2026-02-01,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601311818760523_1.pdf?1769957147000.pdf
连锁加盟行业：中国连锁加盟商业发展白皮书2026,红餐产业研究院,2026-02-01,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601311818761271_1.pdf?1769957540000.pdf
电商行业：2025年飞瓜抖音电商生态与营销投放报告,飞瓜数据,2026-02-01,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601311818761338_1.pdf?1769957620000.pdf
2025年生活服务消费9大趋势洞察：热爱当下 重返线下,美团研究院,2026-02-01,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601311818761296_1.pdf?1769964888000.pdf
2025年中国个人奢侈品市场：在“价值回归、认知升级”的时代重塑方向、稳步复苏,贝恩公司,2026-02-01,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602011819006317_1.pdf?1769958151000.pdf
商贸零售行业周报：功效护肤品牌HBN母公司护家科技递表港交所,开源证券,2026-02-01,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602011819100362_1.pdf?1769971032000.pdf
商贸零售行业跟踪周报：2026年消费-商贸零售&社会服务业的八大预测,东吴证券,2026-02-01,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202602011819150193_1.pdf?1769987976000.pdf
新消费行业周报：若羽臣、万辰集团25年业绩预告表现亮眼；加快培育服务消费新政策出台,华源证券,2026-01-31,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601311818895140_1.pdf?1769902957000.pdf
大消费行业2025Q4基金持仓分析：大消费板块重仓比例连续7个季度回落，远低于历史均值水平,万联证券,2026-01-28,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601281818487283_1.pdf?1769587693000.pdf
商贸零售：12月社零数据如何？,中邮证券,2026-01-28,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601281818500933_1.pdf?1769614382000.pdf
2025年第四季度新兴品类简报,福州西瓜文化传播,2026-01-27,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601271818450046_1.pdf?1769505742000.pdf
大消费行业周报（1月第3周）：黄金珠宝迎旺季催化,世纪证券,2026-01-27,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601271818476892_1.pdf?1769556561000.pdf
商贸零售行业跟踪周报：量贩零食行业龙头上市在即，鸣鸣很忙IPO全梳理,东吴证券,2026-01-26,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601261818405244_1.pdf?1769414666000.pdf
2026年轻人消费趋势报告：智性沸腾,哔哩哔哩,2026-01-25,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601251818394831_1.pdf?1769352250000.pdf
外贸行业进口关税合规报告2026,北京华税律师事务所,2026-01-25,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601251818394731_1.pdf?1769351745000.pdf
商贸零售行业周报：老铺黄金SKP活动开启，关注春节销售超预期催化,开源证券,2026-01-25,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601251818399415_1.pdf?1769361843000.pdf
批发和零售贸易行业研究：关注黄金珠宝涨价，继续看好高端消费,国金证券,2026-01-25,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601251818399228_1.pdf?1769360599000.pdf
12月社零报告专题：12月社零同增0.9%，消费规模稳步扩大,东海证券,2026-01-24,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601241818371362_1.pdf?1769274300000.pdf
新消费行业周报：泡泡玛特2.5亿港元回购；美丽田园25年业绩预告表现亮眼,华源证券,2026-01-24,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601241818374746_1.pdf?1769284501000.pdf
知行数据观察：私处护理品类,宁波知行合一信息技术咨询服务,2026-01-23,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601231818320289_1.pdf?1769185355000.pdf
2025年12月社零数据跟踪报告：12月社零总额同比+0.9%，已连续7个月增速环比下降,万联证券,2026-01-23,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601231818334913_1.pdf?1769194076000.pdf
2026快消行业AI营销增长白皮书,微播易,2026-01-22,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601221818269830_1.pdf?1769102746000.pdf
2025年黑蚁资本消费者趋势研究报告：重返县域 新周期里的理智与情感,深圳前海黑蚁创业投资合伙企业,2026-01-22,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601221818269864_1.pdf?1769098655000.pdf
2025年CDSS品牌推荐：数据驱动精准辅助，循证决策提升诊疗质量,头豹研究院,2026-01-22,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601221818283185_1.pdf?1769110823000.pdf
BILIBILI2026年轻人消费趋势报告：智性沸腾,哔哩哔哩,2026-01-20,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601201818132804_1.pdf?1768906405000.pdf
商贸零售行业点评报告：2025年社零同比+3.7%，海南封关首月表现亮眼,开源证券,2026-01-20,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601201818133977_1.pdf?1768897392000.pdf
商贸零售行业跟踪周报：陕西旅游-近五年来首个景区IPO+历史上最大的景区IPO，A股消费类国企IPO全梳理,东吴证券,2026-01-19,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601191818090195_1.pdf?1768809730000.pdf
2025年12月社零数据点评：12月社零增速为0.9%，餐饮零售额增速快于商品,华源证券,2026-01-19,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601191818108297_1.pdf?1768840224000.pdf
大消费行业周报（1月第2周）：春节免签催热出境游,世纪证券,2026-01-19,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601191818121949_1.pdf?1768865770000.pdf
新消费行业周报：潮宏基2025年度归母净利润高增，巨子生物III类医疗器械正式获批,华源证券,2026-01-18,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601171818054239_1.pdf?1768733643000.pdf
卫生巾品类知行数据观察,宁波知行合一信息技术咨询服务,2026-01-18,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601181818069434_1.pdf?1768748920000.pdf
商贸零售行业周报：钱大妈递表港交所，“折扣日清”打造模式特色,开源证券,2026-01-18,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601181818072109_1.pdf?1768756354000.pdf
批发和零售贸易行业研究：重视AI应用测消费和服务消费新增长点,国金证券,2026-01-18,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601181818071923_1.pdf?1768755746000.pdf
耐用消费产业行业研究：AI+消费迈入物理世界，新型烟草出口格局生变利好龙头,国金证券,2026-01-18,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601181818074272_1.pdf?1768762873000.pdf
消费行业：2025年度热门行业数据简报,福州果集信息科技,2026-01-16,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601151817128963_1.pdf?1768550712000.pdf
26年线上消费市场机遇洞察,南京炼丹炉数据技术,2026-01-16,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601161817895100_1.pdf?1768596662000.pdf
2025年零售新品情报合集,凯爱瑞配料贸易(上海),2026-01-16,商业百货,https://pdf.dfcfw.com/pdf/H3_AP202601161817893100_1.pdf?1768596909000.pdf
