研报名称,机构名称,发布时间,行业,研报地址
建筑装饰行业周报：关注鸿路钢构智能化改造带来的量价提升,华源证券,2026-06-16,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202606161823602255_1.pdf?1781625540000.pdf
建筑装饰行业周报：政策利好释放，建筑装饰行业景气边际回暖,大同证券,2026-06-10,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202606101823423093_1.pdf?1781110335000.pdf
建筑装饰行业周报：城市更新“十五五”规划落地，建筑结构性机会凸显,大同证券,2026-06-03,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202606031823215503_1.pdf?1780517884000.pdf
"建筑装饰：《城市更新“十五五”规划》（国发〔2026〕12号）点评-城市更新“十五五”规划发布,存量提质打开投资空间",华源证券,2026-06-02,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202606021823151973_1.pdf?1780397315000.pdf
建筑装饰行业周报：城市更新“十五五”规划发布，建筑板块或迎长期机遇,华源证券,2026-06-02,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202606021823160292_1.pdf?1780417956000.pdf
建筑装饰行业周报：固投承压，“六张网”引领结构机会,大同证券,2026-05-27,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605271822908990_1.pdf?1779887126000.pdf
25FY年报&26Q1季报建筑综述：业绩整体承压，现金流改善明显,华源证券,2026-05-27,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605271822921241_1.pdf?1779918157000.pdf
建筑装饰行业周报：关注洁净室等景气赛道,华源证券,2026-05-27,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605271822921925_1.pdf?1779920302000.pdf
建筑装饰行业周报：政策主线清晰，洁净室与算力基建景气上行,大同证券,2026-05-20,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605201822496471_1.pdf?1779300348000.pdf
建筑装饰行业周报：重视“六张网”投资机会,华源证券,2026-05-18,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605181822413023_1.pdf?1779147128000.pdf
建筑装饰行业周报：算电协同政策发力，洁净室与钢结构景气上行,大同证券,2026-05-13,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605131822255400_1.pdf?1778670831000.pdf
建筑装饰行业周报：业绩整体承压，重大工程推进下关注板块修复机会,华源证券,2026-05-13,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605131822262802_1.pdf?1778683738000.pdf
建筑装饰行业周报：政策托底，板块结构性分化,大同证券,2026-05-08,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202605081822061836_1.pdf?1778237895000.pdf
建筑装饰行业周报：特别国债落地托底，建筑行业基建主线升温,大同证券,2026-04-29,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604291821729557_1.pdf?1777462822000.pdf
建筑装饰行业周报：专项债保驾护航，建筑行业旺季预期升温,大同证券,2026-04-22,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604221821412406_1.pdf?1776847209000.pdf
建筑装饰行业周报：Q1基建增速回正，海外拓展或是亮点,华源证券,2026-04-22,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604221821467828_1.pdf?1776895441000.pdf
建筑装饰行业周报：地缘缓和提振风险偏好，PPI转正建筑受益,大同证券,2026-04-15,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604151821228260_1.pdf?1776250196000.pdf
建筑装饰行业周报：地缘冲突推升油价，建筑业景气度修复,大同证券,2026-04-09,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604091821086370_1.pdf?1775749674000.pdf
建筑装饰行业周报：出海是主旋律，当下继续推荐高股息+“安全类”资产,华源证券,2026-04-08,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604081821073958_1.pdf?1775691182000.pdf
建筑装饰行业周报：高股息和“安全类”资产或是当下较优组合,华源证券,2026-04-02,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604021820975544_1.pdf?1775130155000.pdf
越南制造：区域集群和生产基地选择,协力管理咨询(深圳)大连分公司,2026-04-01,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604011820946615_1.pdf?1775066958000.pdf
建筑装饰行业周报：地缘扰动下低估值优势凸显，基建延续复苏,大同证券,2026-04-01,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202604011820949544_1.pdf?1775060318000.pdf
建筑施工行业2026年政府工作报告解读：政策驱动结构切换、技术赋能转型升级,联合资信评估,2026-03-24,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603231820709436_1.pdf?1774337866000.pdf
建筑装饰行业周报：基建投资改善，专项债发行加快,大同证券,2026-03-24,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603241820714525_1.pdf?1774345108000.pdf
建筑装饰行业周报：1-2月基建迎开门红，继续关注“安全”类资产,华源证券,2026-03-23,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603231820708390_1.pdf?1774306249000.pdf
英国-2026年春季：建筑与工程事宜,翰宇国际律师事务所,2026-03-20,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603201820658173_1.pdf?1773998796000.pdf
建筑装饰行业周报：地缘冲突扰动，行业复工推进,大同证券,2026-03-17,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603171820604125_1.pdf?1773775818000.pdf
建筑装饰行业周报：“十五五”规划纲要发布，继续关注“安全”类资产,华源证券,2026-03-16,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603161820581944_1.pdf?1773687709000.pdf
建筑装饰行业周报：发债提速，供需格局边际优化,大同证券,2026-03-12,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603101820458723_1.pdf?1773300008000.pdf
建筑装饰行业周报：“六张网”利好水电投资，“安全”投资有望加速,华源证券,2026-03-09,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603091820422987_1.pdf?1773090733000.pdf
基建行业ESG白皮书,荣续ESG智库研究中心,2026-03-04,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603031820234600_1.pdf?1772611913000.pdf
建筑装饰行业周报：开复工改善，板块跑赢沪深300,大同证券,2026-03-04,基础建设,https://pdf.dfcfw.com/pdf/H3_AP202603041820254516_1.pdf?1772621059000.pdf
