研报名称,机构名称,发布时间,行业,研报地址
非银行业行业点评报告：地方AMC新规出炉，推动聚焦主责主业,中国银河,2025-07-20,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507191711672408_1.pdf?1753006779000.pdf
金融产品跟踪周报：权益ETF系列：大盘预警信号消失，后续可能持续上涨，关注高景气投资方向,东吴证券,2025-07-20,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507201711991524_1.pdf?1753008812000.pdf
稳定币系列报告一：扬帆起航，香港稳定币产业链生态深度解析,国金证券,2025-07-18,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507181710985930_1.pdf?1752826950000.pdf
2025年中国租赁业调查报告：刚柔并济 革故鼎新,毕马威,2025-07-16,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507161709812337_1.pdf?1752657754000.pdf
非银金融行业点评报告：券商中报预告超预期，继续推荐券商板块,开源证券,2025-07-15,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507151709332738_1.pdf?1752592075000.pdf
个贷不良2.0时代的进阶：AMC如何迎接个贷不良新风口？,中诚信国际,2025-07-15,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507151709395750_1.pdf?1752599424000.pdf
2025中国家庭养老金融健康指数调研报告,同程网络科技股份,2025-07-14,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507141708348110_1.pdf?1752492114000.pdf
2025年二季度金融行业监管政策与处罚分析,安永会计师事务所,2025-07-13,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507121707656033_1.pdf?1752402153000.pdf
2025金融行业行业白皮书,薪郅互联网科技(上海),2025-07-13,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507121707656035_1.pdf?1752402362000.pdf
金融产品跟踪周报：权益ETF系列：关注结构变化，行情可能临近变盘点,东吴证券,2025-07-13,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507121707691409_1.pdf?1752400297000.pdf
非银金融：存款搬家驱动哑铃型资金结构再调整 下半年市场增量资金哪里来？,国信证券,2025-07-13,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507131708306072_1.pdf?1752448645000.pdf
非银行业周报：中报业绩催化下，非银板块有望迎β和α共振,民生证券,2025-07-13,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507131708218741_1.pdf?1752437240000.pdf
REITs行业周报：环保REITs单月表现优异，发行市场保持活跃,开源证券,2025-07-13,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507131708295363_1.pdf?1752445291000.pdf
非银金融行业点评：这次有什么不一样,天风证券,2025-07-11,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507111706966651_1.pdf?1752249615000.pdf
2025年香港信托行业报告：驾驭变更，迎接增长,毕马威,2025-07-11,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507111706996434_1.pdf?1752254677000.pdf
金融行业双周报：银行板块反复活跃，券商半年报预喜,东莞证券,2025-07-11,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507111707004289_1.pdf?1752254409000.pdf
金融产品行业深度报告：低利率时代REITs的配置价值：制度、市场与展望,东吴证券,2025-07-10,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507091705938369_1.pdf?1752130045000.pdf
非银行业点评：“南向通”参与机构扩容，非银机构投资经纪或迎机遇,民生证券,2025-07-09,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507091705592578_1.pdf?1752051127000.pdf
信贷市场行业风险调研：行业洞察力报告2025年度（总第六期）,睿智合创(北京)科技,2025-07-08,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507081705000188_1.pdf?1751967491000.pdf
非银行金融行业深度研究：高质量发展增量政策对金融行业影响解析,太平洋,2025-07-07,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507071704381532_1.pdf?1751879140000.pdf
股权投资行业2025年半年度总结及展望,联合资信,2025-07-06,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507051703568273_1.pdf?1751795860000.pdf
金融产品跟踪周报：权益ETF系列：行情轮动较快，存在结构性机会,东吴证券,2025-07-06,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507061703568311_1.pdf?1751793635000.pdf
金融行业周报：央行修订CIPS业务规则，推进上海自贸试验区改革开放,平安证券,2025-07-06,多元金融,https://pdf.dfcfw.com/pdf/H3_AP202507061704043378_1.pdf?1751826010000.pdf
