研报名称,机构名称,发布时间,行业,研报地址
房地产行业周报：新房成交面积环比增长，以高水平安全保障城市高质量发展,开源证券,2025-11-24,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511241787238612_1.pdf?1763971476000.pdf
REIT行业周报：支持消费基础设施和商贸流通体系建设，发行市场保持活跃,开源证券,2025-11-24,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511241787257145_1.pdf?1763974771000.pdf
发债房企2025年三季报总结：盈利能力承压，行业结构性分化调整,太平洋,2025-11-23,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511231786765289_1.pdf?1763905760000.pdf
房地产日报：武汉2宗宅地收金4.36亿元,太平洋,2025-11-21,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511211785357076_1.pdf?1763713303000.pdf
房地产开发2026年度策略：调结构待转型，提质量新发展,中国银河,2025-11-21,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511211785388273_1.pdf?1763717916000.pdf
房地产行业周度观察,国新证券股份,2025-11-21,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511211785552366_1.pdf?1763740251000.pdf
案例研究 _ 政策暖风下的分化与突围：2025年上海新房市场项目诊断解析,58安居客房产研究院,2025-11-20,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511201784724075_1.pdf?1763625314000.pdf
2025年第三季度厦门写字楼与零售市场概况,戴德梁行,2025-11-20,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511201784724100_1.pdf?1763627068000.pdf
成都甲级写字楼市场回顾及展望2025年第三季度,高力国际,2025-11-20,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511201784724114_1.pdf?1763626324000.pdf
房地产日报：湖北宜昌商品房“收旧换新”启动,太平洋,2025-11-20,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511201785074114_1.pdf?1763673757000.pdf
房地产日报：绍兴上虞区出让一宗宅地,太平洋,2025-11-19,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511191784113114_1.pdf?1763541112000.pdf
房地产行业周报：10月投资销售走弱，国务院发文支持民间投资项目发行REITs,华源证券,2025-11-19,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511191784108225_1.pdf?1763540284000.pdf
中国房地产企业资讯监测报告,中国指数研究院,2025-11-19,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511191784457403_1.pdf?1763588622000.pdf
房地产：中指·政策要闻丨岳阳平江县推进现房销售,中国指数研究院,2025-11-19,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511191784457404_1.pdf?1763588738000.pdf
房地产行业第46周周报：本周成交环比转正，同比降幅收窄，但10月70城房价环比跌幅扩大，仍需等待政策进一步发力,中银证券,2025-11-18,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511181783476417_1.pdf?1763453726000.pdf
房地产行业2025年10月月报：10月楼市成交同比增速由正转负；房地产高质量发展列入新的五年规划,中银证券,2025-11-18,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511181783480411_1.pdf?1763454222000.pdf
房地产行业报告：地产数据加速下滑，政策放松预期升温,中邮证券,2025-11-18,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511181783500580_1.pdf?1763456652000.pdf
房地产行业：深圳写字楼市场2025年三季度,戴德梁行,2025-11-18,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511181783516552_1.pdf?1763463613000.pdf
10月房地产行业月报：销售均价环比提高，开工竣工降幅扩大,中国银河,2025-11-18,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511181783514720_1.pdf?1763460140000.pdf
2025年10月统计局房地产数据点评：10月销售数据承压，房价环比降幅扩大,太平洋,2025-11-18,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511181783572371_1.pdf?1763470992000.pdf
房地产日报：上海拟出让三宗城中村改造宅地,太平洋,2025-11-18,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511181783572375_1.pdf?1763470992000.pdf
房地产日报：常州新北区两宗宅地成交,太平洋,2025-11-17,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511171782852136_1.pdf?1763368047000.pdf
房地产行业点评报告：高基数下销售数据承压，开竣工面积降幅扩大,开源证券,2025-11-17,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511171782863191_1.pdf?1763369533000.pdf
房地产行业周报：新房二手房成交面积环比增长，完善房地产金融基础性制度,开源证券,2025-11-17,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511171782863189_1.pdf?1763369432000.pdf
房地产行业周报：本周地产表现较强，黄冈优化住房公积金政策,西南证券,2025-11-17,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511171782930292_1.pdf?1763378312000.pdf
房地产行业点评报告：新房二手房价格环比降幅扩大，上海新房价格同环比持续领涨,开源证券,2025-11-16,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511161782378420_1.pdf?1763302789000.pdf
房地产行业2025年10月70个大中城市房价数据点评：70城房价环比跌幅扩大，首次出现所有城市二手房房价持续下跌的情形；但一二线城市跌幅并未扩大,中银证券,2025-11-16,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511161782417898_1.pdf?1763312806000.pdf
房地产行业2025年10月统计局数据点评：受高基数以及政策效果减弱影响，单月销售降幅扩大；今年以来投资降幅持续扩大,中银证券,2025-11-16,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511161782421568_1.pdf?1763312710000.pdf
REITs行业周报：积极支持更多民间投资项目REITs发行，保障房REITs单周表现优异,开源证券,2025-11-16,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511161782523831_1.pdf?1763323315000.pdf
统计局2025年1-10月房地产数据点评：地产基本面趋势下行，高基数影响逐渐显现,国信证券,2025-11-16,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511161782361328_1.pdf?1763305058000.pdf
2025年中国房地产土地周报：供求规模低位下探，溢价率下半年新低,立鼎证券,2025-11-15,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511151781617329_1.pdf?1763201667000.pdf
2025年第三季度：强城城市吸引力，办公市场，人力资源趋势,莱坊,2025-11-15,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511151781617332_1.pdf?1763371442000.pdf
2025年1-10月长沙房地产企业销售业绩TOP20,中国指数研究院,2025-11-14,房地产开发,https://pdf.dfcfw.com/pdf/H3_AP202511141781018121_1.pdf?1763114319000.pdf
