研报名称,机构名称,发布时间,行业,研报地址
化工行业周报：丙烯酸等本周涨幅居前，赛轮ESG表现获肯定,信达证券,2025-01-03,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202501031641806209_1.pdf?1735945907000.pdf
化工行业周报：制冷剂等价格上行，山东发文布局精细化工产业发展,信达证券,2024-12-27,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202412271641457398_1.pdf?1735332528000.pdf
化工行业周报：顺酐、丙烯酸等涨幅居前，四部门联合印发原材料工业相关文件,信达证券,2024-12-21,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202412211641388791_1.pdf?1734859451000.pdf
化工行业周报：USTMA上调美国2024轮胎出货量预测,信达证券,2024-12-08,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202412081641220414_1.pdf?1733684037000.pdf
化工行业周报：前10月化学原料和化学制品制造业利润同比下降7.7%，环己烷等化工品价格周环比上行,信达证券,2024-11-29,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202411291641125111_1.pdf?1732918871000.pdf
化工行业周报：甲醇等化工品价格上行,信达证券,2024-11-22,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202411221641035476_1.pdf?1732313677000.pdf
化工行业周报：赛轮实控人拟增持，制冷剂、氯化钾等价格上行,信达证券,2024-11-15,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202411151640922325_1.pdf?1731705314000.pdf
化工行业周报：维生素C、玻璃等价格上扬,信达证券,2024-11-01,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202411011640669271_1.pdf?1730483760000.pdf
化工行业周报：确成Q3产销量及收入创新高，BDO、烧碱等化工品价格上扬,信达证券,2024-10-25,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202410251640507669_1.pdf?1729888660000.pdf
化工行业周报：美国商务部公布对泰国卡客车胎反倾销终裁税率，EVA价格止跌上涨,信达证券,2024-10-18,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202410181640363888_1.pdf?1729288799000.pdf
化工行业周报：两部委推动新材料中试平台建设，赛轮Q3业绩预喜,信达证券,2024-10-12,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202410121640273732_1.pdf?1728745815000.pdf
化工行业周报：Adnoc收购科思创终落定；政策加码促基化行业估值修复,中泰证券,2024-10-09,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202410091640218595_1.pdf?1728463480000.pdf
化工行业周报：制冷剂、三氯蔗糖等价格上扬,信达证券,2024-09-27,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202409271640084100_1.pdf?1727471408000.pdf
化工行业周报：赛轮印尼工厂奠基,信达证券,2024-09-20,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202409201639966775_1.pdf?1726869192000.pdf
化工行业周报：三氯蔗糖、安赛蜜等价格上扬,信达证券,2024-09-13,橡胶制品,https://pdf.dfcfw.com/pdf/H3_AP202409131639881853_1.pdf?1726297412000.pdf
