研报名称,机构名称,发布时间,行业,研报地址
中国车市用户忠诚度洞察报告（2026版）：存量之争2.0时代 中国品牌由攻转“守”,腾易研究院,2026-03-19,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603191820634900_1.pdf?1773912340000.pdf
汽车行业：超级电容在电动汽车上的应用,驱动视界(北京)技术,2026-03-18,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603181820611141_1.pdf?1773825630000.pdf
市场洞察：2025中国汽车出海英国市场动态追踪 ——销量暴增235%，创历史新高,头豹研究院,2026-03-13,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603131820552528_1.pdf?1773430990000.pdf
智车研栈OTA2026-01月报,上海安路勤企业管理咨询,2026-03-05,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603051820286415_1.pdf?1772703655000.pdf
智车研栈OTA2026第7周周报,上海安路勤企业管理咨询,2026-03-05,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603051820286411_1.pdf?1772705477000.pdf
2026年智驾平权之车企智驾方案梳理,东吴证券,2026-03-04,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603041820272147_1.pdf?1772655209000.pdf
汽车：销售势头趋稳，市场聚焦2026下半年展望,建银国际证券,2026-03-03,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603031820233901_1.pdf?1772573190000.pdf
智驾行业2026年投资策略：从辅助驾驶走向物理AI,国金证券,2026-03-02,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603021820180078_1.pdf?1772459709000.pdf
汽车2026年度策略：短期承压不改长期趋势；趋势为王抓住确定性,山西证券,2026-03-02,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603021820182539_1.pdf?1772467135000.pdf
汽车行业周报：AI发电系列（1）柴发——AI Capex扩张下的通胀环节,华源证券,2026-03-02,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603021820196274_1.pdf?1772485216000.pdf
汽车零部件&机器人主线周报：智元“牵手”敏实，宇树发布新款四足机器狗,东吴证券,2026-03-01,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202603011820160176_1.pdf?1772388313000.pdf
零跑汽车市场竞争力分析报告（2026版）：零跑汽车快速崛起的底层逻辑是什么,腾易研究院,2026-02-26,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202602261820053355_1.pdf?1772104059000.pdf
香港电动车普及化路线图更新版,中华人民共和国香港特别行政区政府环境及生态局,2026-02-26,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202602261820053925_1.pdf?1772113439000.pdf
汽车服务：2月上海篇-2026年主流车企城市NOA试驾报告,东吴证券,2026-02-12,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202602121819905104_1.pdf?1770924830000.pdf
汽车行业周报：市场品牌化发力，政策托底启程,国元证券,2026-02-09,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202602091819831752_1.pdf?1770651869000.pdf
汽车零部件&机器人主线周报：Optimus再获马斯克高度评价，智元将举办机器人晚会,东吴证券,2026-02-08,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202602071819822988_1.pdf?1770569079000.pdf
洞察小型电动汽车市场竞争态势（2026）：低利润、高销量的小型电动电动汽车使汽车制造商获得丰厚收益,易车,2026-02-05,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202602051819786191_1.pdf?1770303774000.pdf
市场洞察：2025年中国二手车市场动态追踪-全国车源加速流动，区域梯度与数字化共振扩散,头豹研究院,2026-02-04,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202602041819774405_1.pdf?1770234773000.pdf
中国二手车行业出口分析及各国进口政策影响白皮书,上海特易信息科技,2026-01-08,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202601071816825674_1.pdf?1767859070000.pdf
智能网联汽车网络技术路线图（2025-2030）,中国通信工业协会,2025-11-14,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202511141781018104_1.pdf?1763115948000.pdf
2025中国汽车租赁行业现状与发展报告,上海嘉世营销咨询,2025-10-11,汽车服务,https://pdf.dfcfw.com/pdf/H3_AP202510111759945107_1.pdf?1760173239000.pdf
