研报名称,机构名称,发布时间,行业,研报地址
BBA市场竞争力分析报告（2026版）：BBA如何反杀特斯拉、问界等新锐竞品,腾易研究院,2025-12-08,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512081796101347_1.pdf?1765185648000.pdf
汽车行业周报：特朗普政府或将发布关于机器人的行政命令，L3级自动驾驶迎来关键推动,华鑫证券,2025-12-08,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512081796144713_1.pdf?1765185648000.pdf
汽车行业周报：11月中国乘用车批发销量达299.2万辆，前11个月汽车以旧换新超1120万辆,信达证券,2025-12-07,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512071795684458_1.pdf?1765122578000.pdf
汽车周观点：曹操出行Robotaxi战略升级，继续看好汽车板块,东吴证券,2025-12-07,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512071795718693_1.pdf?1765127287000.pdf
汽车行业周报：人形机器人行业双周报（1124-1207）：Optimus、Figure 03跑步姿态超预期，人形机器人催生丝杠,华金证券,2025-12-07,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512071795742525_1.pdf?1765130526000.pdf
汽车行业周报：鸿蒙智行尊界S800轿车11月交付破2000台，宇树科技完成IPO辅导,开源证券,2025-12-07,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512071795808760_1.pdf?1765139644000.pdf
汽车行业研究周报：人形机器人产业在“防泡沫”引导下加速落地,申港证券,2025-12-05,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512051794287888_1.pdf?1764927295000.pdf
汽车行业双周报：今年全年我国汽车销量预计将超3400万辆,东莞证券,2025-12-05,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512051794478027_1.pdf?1764952292000.pdf
2025年汽车行业研究报告：重塑之局AI智驱决策新引擎,艾瑞股份,2025-12-04,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512031793353787_1.pdf?1764832615000.pdf
汽车与零部件行业周报：零跑提前达成50万辆年销量目标，长安汽车设立机器人公司,上海证券,2025-12-04,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512041793647664_1.pdf?1764841517000.pdf
中国汽配行业出海国别机会洞察报告：汽车零配件产品,亿欧智库,2025-12-03,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512031792972663_1.pdf?1764754082000.pdf
汽车零部件科技主线2026年策略报告：AI驱动下液冷+机器人需求爆发，开启汽零新增长曲线,东吴证券,2025-12-03,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512031792751519_1.pdf?1764747951000.pdf
智能汽车系列报告（五）：蔚来业绩创历史新高，25Q4有望实现盈利,爱建证券,2025-12-03,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512031793108713_1.pdf?1764770422000.pdf
汽车智能化系列专题之决策篇（7）：各厂商技术持续突破，robotaxi商业化进展迎拐点,国信证券,2025-12-03,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512031793319636_1.pdf?1764798152000.pdf
市场洞察：从产品、技术、产能方面了解中国新能源车企出海情况,头豹研究院,2025-12-02,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512021792621732_1.pdf?1764705449000.pdf
汽车周观点：Robotaxi落地加速，继续看好汽车板块,东吴证券,2025-12-01,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512011791744941_1.pdf?1764588577000.pdf
汽车行业周观点：Robotaxi落地加速，继续看好汽车板块,东吴证券,2025-12-01,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512011791756830_1.pdf?1764590263000.pdf
汽车行业周报：自主品牌建设汽车强国，汽车业加速进军AI,国元证券,2025-12-01,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512011791822892_1.pdf?1764598838000.pdf
智能汽车系列报告（六）：理想召回事件短期扰动业绩，静待2026年产品升级,爱建证券,2025-12-01,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202512011792016636_1.pdf?1764623934000.pdf
汽车行业周报：国内首条大容量全固态电池产线建成，商务部将推进汽车流通消费改革试点,信达证券,2025-11-30,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511301791155294_1.pdf?1764508723000.pdf
汽车行业周报：特斯拉FSD V14.2.1上线，长安汽车拟2.25亿元参与设立机器人公司,开源证券,2025-11-30,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511301791189851_1.pdf?1764513350000.pdf
汽车行业周报：车企加速布局具身智能，推动汽车与机器人产业双向奔赴,华鑫证券,2025-11-30,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511301791337333_1.pdf?1764533846000.pdf
汽车行业双周报：广东集群优势明显，26H1液冷订单确定性较高,华源证券,2025-11-28,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511271789497808_1.pdf?1764314817000.pdf
汽车行业2026年度策略：技术迭代蕴新机，智驾与机器人共舞,中国银河,2025-11-28,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511281789830325_1.pdf?1764327524000.pdf
汽车行业双周报：Robotaxi海外拓展多点开花，宇树完成IPO辅导,中国银河,2025-11-28,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511281789902498_1.pdf?1764337049000.pdf
汽车行业研究周报：华为举办生态大会，展现智驾新布局,申港证券,2025-11-26,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511261788688910_1.pdf?1764171129000.pdf
汽车智能化月报系列（三十）：9月城区NOA渗透率达16%，小鹏发布第二代VLA、Robotaxi、全新一代IRON,国信证券,2025-11-26,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511261788756584_1.pdf?1764179766000.pdf
简析新版减免购置税、车船税新能源汽车技术要求,中国汽车流通协会乘用车市场信息联席分会,2025-11-26,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511261788822323_1.pdf?1764190963000.pdf
汽车行业周报：多策出海持续推进，智驾发展驶入纵深,国元证券,2025-11-25,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511251788011199_1.pdf?1764078280000.pdf
汽车与零部件行业周报：华为乾崑发布“两境”，广汽集团全固态电池中试产线正式建成投产,上海证券,2025-11-25,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511251788041170_1.pdf?1764082125000.pdf
汽车行业2026年上半年投资策略：乘用车市场销量持续增长，关注激光雷达和Robotaxi相关投资机会,东莞证券,2025-11-25,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511251788106556_1.pdf?1764091084000.pdf
汽车行业周报：Figure助力宝马生产3万台汽车，华为助力央国企主机厂智能化转型,华鑫证券,2025-11-24,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511241787234950_1.pdf?1763971366000.pdf
汽车周观点：小鹏增程首款车型X9发布，继续看好汽车板块,东吴证券,2025-11-24,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511241787264265_1.pdf?1763974952000.pdf
汽车行业周报：人形机器人行业双周报（1110-1123）：宇树科技完成上市辅导，特斯拉灵巧手自由度大幅升级,华金证券,2025-11-24,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511241787376501_1.pdf?1763991147000.pdf
客车11月月报：10月内需同比修复，期待年底翘尾行情,东吴证券,2025-11-24,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511241787478024_1.pdf?1764004008000.pdf
汽车行业周报：小鹏汽车第100万台整车下线，广州车展车企竞逐具身智能新赛道,开源证券,2025-11-23,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511231786831114_1.pdf?1763914023000.pdf
汽车行业周报：信部公示智能网联汽车安全强制性国标，华为乾崑连发“两境”,信达证券,2025-11-23,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511231786850430_1.pdf?1763917056000.pdf
汽车行业：2025高端座驾市场需求与趋势洞察白皮书,复旦大学,2025-11-21,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511211785368132_1.pdf?1763720449000.pdf
汽车行业研究周报：10月新能源汽车表现亮眼,申港证券,2025-11-21,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511211785410737_1.pdf?1763721404000.pdf
汽车行业双周报：10月新能源汽车销售渗透率达51.6%,东莞证券,2025-11-21,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511211785600912_1.pdf?1763746215000.pdf
智能汽车系列报告（三）：零跑25Q3盈利持续改善，技术普惠驱动销量高增,爱建证券,2025-11-19,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511191784095348_1.pdf?1763539054000.pdf
汽车与零部件行业周报：10月汽车销量新能源过半、中国品牌占72%、出口破66万,上海证券,2025-11-19,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511191784162461_1.pdf?1763546765000.pdf
在全球贸易格局变化中塑造印度汽车零部件产业的未来,麦肯锡咨询,2025-11-18,汽车零部件,https://pdf.dfcfw.com/pdf/H3_AP202511181783476398_1.pdf?1763454538000.pdf
