研报名称,机构名称,发布时间,行业,研报地址
公用事业行业跟踪周报：国家能源局推动气象与电力大模型深度耦合，江西有序推动绿电直连发展实施方案,东吴证券,2026-04-21,电力,https://pdf.dfcfw.com/pdf/H3_AP202604211821375083_1.pdf?1776783624000.pdf
大能源行业2026年第15周周报：绿色燃料成本或为胜负手 电价拐点或因战局与气候提前,华源证券,2026-04-20,电力,https://pdf.dfcfw.com/pdf/H3_AP202604201821325119_1.pdf?1776671372000.pdf
公用环保行业202604第3期：1-3月规上发电量2.38万亿kWh（+3.4%），国家发改委明确“十五五”新型能源体系建设五大重点任务,国信证券,2026-04-20,电力,https://pdf.dfcfw.com/pdf/H3_AP202604201821352885_1.pdf?1776721903000.pdf
公用事业行业研究：火电贡献93%发电量增量，能源通胀下电价兑现上涨,国金证券,2026-04-19,电力,https://pdf.dfcfw.com/pdf/H3_AP202604191821321600_1.pdf?1776614583000.pdf
海外核电行业点评：美国启动空间核电国家计划，能源外溢驱动核能新需求,华源证券,2026-04-17,电力,https://pdf.dfcfw.com/pdf/H3_AP202604171821297616_1.pdf?1776449092000.pdf
行业简报：水电工程对西藏地区经济与产业的带动影响-深度分析建设“超级水电”，将如何带动西藏地区的经济与产业？,头豹研究院,2026-04-17,电力,https://pdf.dfcfw.com/pdf/H3_AP202604171821303229_1.pdf?1776455284000.pdf
公用环保行业202604第2期：四家央企碳资产公司成立核能方法学联合体，核电有望迎来价值重估,国信证券,2026-04-15,电力,https://pdf.dfcfw.com/pdf/H3_AP202604151821235414_1.pdf?1776268846000.pdf
全球能源展望2026：世界如何失去了1.5°C的目标,未来资源研究所,2026-04-14,电力,https://pdf.dfcfw.com/pdf/H3_AP202604131821161888_1.pdf?1776159557000.pdf
电力能源行业周报,英大证券,2026-04-14,电力,https://pdf.dfcfw.com/pdf/H3_AP202604141821192629_1.pdf?1776193049000.pdf
公用环保202604第1期：国网南网一季度固定资产投资超1674亿元， 公用环保2025年报汇总,国信证券,2026-04-13,电力,https://pdf.dfcfw.com/pdf/H3_AP202604131821145684_1.pdf?1776074570000.pdf
大能源行业2026年第14周周报：电力设备、环保、煤炭2026Q1业绩前瞻,华源证券,2026-04-13,电力,https://pdf.dfcfw.com/pdf/H3_AP202604131821146766_1.pdf?1776079942000.pdf
公用事业行业跟踪周报：全国可再生能源电力开发建设3月月度调度会召开，新疆4个绿电直连项目获批,东吴证券,2026-04-13,电力,https://pdf.dfcfw.com/pdf/H3_AP202604131821162438_1.pdf?1776121562000.pdf
公用事业行业研究：华电集团强调算电协同，关注煤电水电量增趋势,国金证券,2026-04-12,电力,https://pdf.dfcfw.com/pdf/H3_AP202604121821142154_1.pdf?1776028953000.pdf
中国新型储能领域创投分析报告,北京绿色金融与可持续发展研究院,2026-04-10,电力,https://pdf.dfcfw.com/pdf/H3_AP202604101821108135_1.pdf?1775813349000.pdf
市场洞察：双碳驱动电力革命，固态变压器的商业化拐点已至？,头豹研究院,2026-04-10,电力,https://pdf.dfcfw.com/pdf/H3_AP202604101821123944_1.pdf?1775850444000.pdf
公用事业行业研究：净资产增长报表修复，关注动荡下的能源安全,国金证券,2026-04-07,电力,https://pdf.dfcfw.com/pdf/H3_AP202604071821037366_1.pdf?1775556663000.pdf
