研报名称,机构名称,发布时间,行业,研报地址
优质公司系列专题之康农种业-出海篇：中国种业出海正当时，康农种业品种出口非洲开启新篇章,华源证券,2026-06-12,种植业,https://pdf.dfcfw.com/pdf/H3_AP202606121823521181_1.pdf?1781298204000.pdf
全国玉米价格行情监测周报2026年第21周,合肥农小蜂数字科技,2026-06-07,种植业,https://pdf.dfcfw.com/pdf/H3_AP202606061823330818_1.pdf?1780828665000.pdf
全国玉米价格行情监测周报2026年第20周,合肥农小蜂数字科技,2026-05-28,种植业,https://pdf.dfcfw.com/pdf/H3_AP202605281822957907_1.pdf?1780006004000.pdf
优质公司系列专题之康农种业-品种篇：育种创新或为种企立足之道，康农种业大单品放量驱动成长,华源证券,2026-05-22,种植业,https://pdf.dfcfw.com/pdf/H3_AP202605221822678902_1.pdf?1779457720000.pdf
农业：中国红茶进出口分析报告（2026）,中国农业国际合作促进会茶产业分会,2026-05-19,种植业,https://pdf.dfcfw.com/pdf/H3_AP202605191822438516_1.pdf?1779202514000.pdf
农林牧渔行业2026年第17周：全国玉米价格行情监测周报,合肥农小蜂数字科技,2026-05-12,种植业,https://pdf.dfcfw.com/pdf/H3_AP202605121822192015_1.pdf?1778571658000.pdf
2026年中国农业无人机行业概览：开启农业“智慧时代”（精华版）,头豹研究院,2026-04-29,种植业,https://pdf.dfcfw.com/pdf/H3_AP202604291821765473_1.pdf?1777491976000.pdf
2026年03月全国玉米价格行情监测报告,云南唯恒基业科技,2026-04-26,种植业,https://pdf.dfcfw.com/pdf/H3_AP202604261821586546_1.pdf?1777217430000.pdf
菜价行情周报2026年第16期,合肥农小蜂数字科技,2026-04-24,种植业,https://pdf.dfcfw.com/pdf/H3_AP202604241821531951_1.pdf?1777037338000.pdf
农业：全国玉米价格行情监测周报（2026年第10周）,合肥农小蜂数字科技,2026-03-24,种植业,https://pdf.dfcfw.com/pdf/H3_AP202603231820707272_1.pdf?1774336346000.pdf
粮食种植行业深度：粮价上涨推动种植盈利复苏，生物育种提速助力种业成长,太平洋,2026-03-16,种植业,https://pdf.dfcfw.com/pdf/H3_AP202603161820569509_1.pdf?1773655296000.pdf
菜价行情周报2026年第10期,云南唯恒投资,2026-03-15,种植业,https://pdf.dfcfw.com/pdf/H3_AP202603141820563157_1.pdf?1773585183000.pdf
2025年联合国粮农组织和世界卫生组织农药残留（JMPR）联合会议总结报告,WHO,2026-02-14,种植业,https://pdf.dfcfw.com/pdf/H3_AP202602141819935013_1.pdf?1771073497000.pdf
