研报名称,机构名称,发布时间,行业,研报地址
房地产及建材行业双周报：楼市销售回暖缓慢，房地产市场仍处于调整过程中,东莞证券,2024-04-21,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202404211630932033_1.pdf?1713720019000.pdf
建筑材料及新材料行业专题研究：玻纤基本面更新及近期涨价蕴含的投资机会,国联证券,2024-04-21,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202404211630920972_1.pdf?1713710017000.pdf
非金属建材周报（24年第15周）：长江沿江水泥熟料提价，玻纤价格继续调涨,国信证券,2024-04-15,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202404151630237702_1.pdf?1713218441000.pdf
建筑材料3月动态报告：基建投资助力需求回升，消费建材零售端改善,中国银河,2024-04-12,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202404121630180114_1.pdf?1712938691000.pdf
非金属建材周报（24年第14周）：主导企业积极引领复价，水泥行业纳入碳市场进程有望加快,国信证券,2024-04-08,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202404081630054468_1.pdf?1712602981000.pdf
非金属建材行业2024年4月投资策略：政策有望继续加码，关注建材底部需求修复,国信证券,2024-04-01,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202404011629196556_1.pdf?1711983495000.pdf
建筑材料行业深度：碳纤维新领域，低空经济蓄势腾飞,德邦证券,2024-03-28,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202403281628439359_1.pdf?1711644904000.pdf
建筑材料：重视AWP租赁积极变化及长期广阔成长前景,国联证券,2024-03-27,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202403271628299327_1.pdf?1711549044000.pdf
建筑材料及新材料：西氏：从全球药用胶塞龙头到药包材龙头,国联证券,2024-03-15,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202403151626831042_1.pdf?1710519715000.pdf
建筑材料：出海系列报告之一：当前建材企业出海进展如何？,天风证券,2024-02-28,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202402281623922948_1.pdf?1709111405000.pdf
建筑材料行业周报：地产利好政策叠加节后需求复苏，关注相关建材标的估值修复,华龙证券,2024-02-27,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202402271623726056_1.pdf?1709029902000.pdf
建材行业基金持仓点评：基金持仓环比下降，持仓比例到达新低位,德邦证券,2024-01-24,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401241617987015_1.pdf?1706084201000.pdf
建筑材料2023Q4公募持仓点评：建材行业占比7年新低，消费建材类略有加仓，顺周期头部企业减仓明显,华安证券,2024-01-23,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401231617947772_1.pdf?1706010912000.pdf
建筑材料行业周报：12月地产数据依然承压，水泥行业超低排放明确时间表,上海证券,2024-01-23,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401231617946551_1.pdf?1706005252000.pdf
建筑材料行业跟踪周报：地产链中期寻底,东吴证券,2024-01-22,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401221617898596_1.pdf?1705918650000.pdf
建材建筑周观点：继续推荐建材出海“四小龙”：科达制造、北新建材、中材国际、华新水泥,民生证券,2024-01-22,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401211617888735_1.pdf?1705912947000.pdf
2023年1-12月建材行业数据跟踪：基建高增将延续，建材需求有望回暖,中国银河,2024-01-19,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401191617726852_1.pdf?1705669588000.pdf
建筑材料12月行业数据点评：23年地产销售11亿平，二手强于新房，年末基建增速提升,德邦证券,2024-01-18,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401181617669533_1.pdf?1705562230000.pdf
建材行业周报：房票安置+低息PSL，政策组合拳助力楼市稳增长,甬兴证券,2024-01-16,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401161617509002_1.pdf?1705404132000.pdf
建筑材料行业研究周报：美丽中国建设意见发布，有望促进高耗能建材品种供给优化,天风证券,2024-01-15,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401151617485904_1.pdf?1705306538000.pdf
建筑材料行业跟踪周报：宏观指标出现回暖，地产链中期寻底,东吴证券,2024-01-15,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401151617485499_1.pdf?1705306338000.pdf
建筑材料行业周报：政策支持仍有望出新，关注建材底部机会,开源证券,2024-01-15,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401151617487385_1.pdf?1705311337000.pdf
建筑材料行业周报：建立房地产融资协调机制，明确地方政府牵头作用,华安证券,2024-01-15,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401151617489775_1.pdf?1705328209000.pdf
建材行业周报：持续推荐早周期高股息板块,中银证券,2024-01-15,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401151617489797_1.pdf?1705328424000.pdf
建材行业简评报告：市场风险偏好降低，关注高股息率建材企业,首创证券,2024-01-11,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401111617234359_1.pdf?1704965367000.pdf
建筑材料行业周报：2023年利好政策密集出台，关注2024年开工端机会,华龙证券,2024-01-09,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401091616863748_1.pdf?1704794288000.pdf
建筑材料行业周观点：纯碱、煤炭价格回落，兔宝宝拟回购股份,万联证券,2024-01-09,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401091616863870_1.pdf?1704794288000.pdf
建筑材料行业动态研究：C端消费建材_水泥_建筑央国企股息率较高,国海证券,2024-01-08,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401081616762694_1.pdf?1704714522000.pdf
建材行业周报：低估值高股息优选早周期,中银证券,2024-01-08,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401081616768136_1.pdf?1704734626000.pdf
建材行业周报：逐步适应新常态，寻求多品类突围,甬兴证券,2024-01-05,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401051616647825_1.pdf?1704461923000.pdf
建材行业周报：持续化解地产风险，静待行业走出低谷,甬兴证券,2024-01-04,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401041616283932_1.pdf?1704353401000.pdf
建筑材料行业跟踪周报：大企业兼并重组是底部的重要特征,东吴证券,2024-01-02,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202401011615911271_1.pdf?1704182109000.pdf
非金属建材行业2024年策略报告：静待总量需求回升与龙头α共振,中泰证券,2023-12-29,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202312291615469666_1.pdf?1703845848000.pdf
建筑材料行业动态点评：地产筑底渐稳，龙头积极发展第二成长曲线,甬兴证券,2023-12-29,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202312291615470776_1.pdf?1703844830000.pdf
建材行业2024年投资策略：地产链先抑后扬，新材料景气复苏,华安证券,2023-12-29,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202312291615471335_1.pdf?1703849607000.pdf
建筑建材2024年投资策略报告：下一步，质量与结构更为重要,信达证券,2023-12-29,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202312291615478598_1.pdf?1703867821000.pdf
建材行业动态报告：行业即将回升至景气区间,中国银河,2023-12-28,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202312281615149840_1.pdf?1703778263000.pdf
消费建材2024年度策略：修复继续，强者恒强，寻找增量成长赛道,东吴证券,2023-12-27,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202312271614999801_1.pdf?1703670454000.pdf
建筑材料行业周观点：水泥需求走弱，增发国债第二批项目清单下达,万联证券,2023-12-26,装修建材,https://pdf.dfcfw.com/pdf/H3_AP202312261614901481_1.pdf?1703586465000.pdf
