研报名称,机构名称,发布时间,行业,研报地址
建筑施工行业2024年信用风险展望：下游政策整体向好 信用风险总体可控,大公国际,2024-04-29,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202404291631576198_1.docx?1714424885000.docx
建筑安装行业研究：智能化与绿色化并进，打造新时代的高质量建筑安装服务 头豹词条报告系列,头豹研究院,2024-04-23,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202404231631065290_1.pdf?1713902076000.pdf
建筑装饰：关注24年铁路设备更新投资的景气向上趋势,天风证券,2024-03-11,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403111626208700_1.pdf?1710143779000.pdf
建筑装饰行业报告：继续推荐高股息+出海逻辑，关注超跌优质小盘股,天风证券,2024-03-11,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403111626208710_1.pdf?1710142752000.pdf
建筑行业周报：拟连续发行超长期特别国债；地产行业持续向新发展模式转型,中银证券,2024-03-11,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403111626213023_1.pdf?1710167922000.pdf
建筑装饰行业跟踪周报：政策积极稳增长，基建投资有望保持韧性,东吴证券,2024-03-10,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403101626203520_1.pdf?1710113973000.pdf
建筑行业两会专题报告：目标制定积极进取，特别国债贡献基建增量资金,国信证券,2024-03-08,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403081626028238_1.pdf?1709907780000.pdf
建筑行业周观点：政策趋势与库存周期共振，看好工业建筑相关板块,国信证券,2024-03-05,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403051625505252_1.pdf?1709645124000.pdf
建筑装饰行业报告：继续推荐高股息+出海逻辑，关注超跌优质小盘股,天风证券,2024-03-04,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403041625232505_1.pdf?1709545486000.pdf
建筑装饰行业跟踪周报建筑业PMI表现偏弱，关注后续政策发力下实物量落地节奏,东吴证券,2024-03-04,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403041625333922_1.pdf?1709552288000.pdf
建筑行业周报（2.26-3.3）住 建 部 要 求 加 快 谋 划 第 二 批 及 后 续 保 障 性 住 房项 目,中银证券,2024-03-04,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202403041625308736_1.pdf?1709550622000.pdf
建筑装饰行业研究周报：重点推荐高股息+出海逻辑，关注超跌优质小盘股,天风证券,2024-02-26,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402261623573118_1.pdf?1708934981000.pdf
建筑装饰出海系列报告之二：建筑行业出海动向及展望,天风证券,2024-02-26,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402261623573128_1.pdf?1708936281000.pdf
建筑行业周报：房地产协调融资机制逐步落地；华南华东复工情况较好,中银证券,2024-02-26,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402261623576343_1.pdf?1708945245000.pdf
建筑行业周观点：开复工节奏相对偏慢，把握基建预期差和建筑出海机遇,国信证券,2024-02-26,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402261623587180_1.pdf?1708975285000.pdf
建筑装饰行业深度研究：海外基建市场能否成为国内建筑企业的增长核心？,天风证券,2024-02-26,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402261623579513_1.pdf?1708959179000.pdf
建筑行业2月投资策略：把握建筑央企估值回升和国际工程业绩兑现机遇,国信证券,2024-02-23,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402231623245311_1.pdf?1708714918000.pdf
建筑装饰行业周报：择优央国企经营改善，房企“白名单”利好地产链条修复,天风证券,2024-02-18,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402181622335974_1.pdf?1708263961000.pdf
建筑装饰行业研究周报：择优“中特估”，资金支撑“三大工程”发力,天风证券,2024-02-05,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402051620557306_1.pdf?1707117265000.pdf
建筑装饰行业专题：经营改善估值重塑，关注建筑央国企主题性机会,华安证券,2024-02-05,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202402051620577443_1.pdf?1707162936000.pdf
建筑装饰：央国企行情持续演绎，继续推荐低估值&高股息品种,天风证券,2024-01-30,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401301619509276_1.pdf?1706620108000.pdf
建筑行业周观点：支撑建筑央企估值回升的三个因素,国信证券,2024-01-30,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401301619507030_1.pdf?1706636476000.pdf
建筑装饰行业研究周报：择优“中特估”，持续关注出海链和高股息,天风证券,2024-01-29,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401291619253794_1.pdf?1706621909000.pdf
建筑装饰行业深度研究：固定资产投资目标持续分化，关注传统基建强省景气度延续,天风证券,2024-01-29,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401291619253796_1.pdf?1706518646000.pdf
建筑装饰行业跟踪周报：政策组合不断出台，关注建筑央企考核体系变化,东吴证券,2024-01-29,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401291619270633_1.pdf?1706533699000.pdf
建筑装饰行业点评：中特估行情持续演绎，关注低估值央国企投资价值,天风证券,2024-01-26,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401261618285126_1.pdf?1706260821000.pdf
建筑装饰行业专题研究：四季度央企新签提速，关注中长期分红及股息率提升,天风证券,2024-01-24,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401241617988758_1.pdf?1706089678000.pdf
基础设施投融资行业,中诚信国际,2024-01-10,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202401101617060413_1.pdf?1704907066000.pdf
建筑装饰：中央经济工作会议点评-加快推进“三大工程”，看多建筑细分龙头,甬兴证券,2023-12-28,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202312281615153370_1.pdf?1703781612000.pdf
市政工程建设 头豹词条报告系列,头豹研究院,2023-12-28,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202312281615160616_1.pdf?1703792352000.pdf
建筑装饰行业月报：中央定调稳增长，三大工程持续发力,中国银河,2023-12-24,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202312241614880495_1.pdf?1703431325000.pdf
建筑装饰工程 头豹词条报告系列,头豹研究院,2023-12-20,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202312201614600046_1.pdf?1703101090000.pdf
建筑行业周报：水利建设投资突破万亿规模，京沪发布优化购房政策，看好基建稳增长及地产链板块,国投证券,2023-12-18,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202312181614439029_1.pdf?1702908097000.pdf
建筑装饰行业研究周报：顺周期改善有望强化，关注高股息率建筑央国企,天风证券,2023-12-11,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202312111613698653_1.pdf?1702291813000.pdf
建筑行业2024年度投资策略：稳中求变，顺时而谋,国信证券,2023-12-03,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202312031613220930_1.pdf?1701620802000.pdf
建筑行业周观点：基建开工的回顾及展望,国信证券,2023-11-28,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202311281612481618_1.pdf?1701191983000.pdf
建筑装饰行业周报：政策面积极推动地产资金改善，期待明年三大工程盘活效果,信达证券,2023-11-27,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202311261612383258_1.pdf?1701077402000.pdf
建筑装饰行业研究周报：地产资金面改善，重视城中村改造&保障房新需求,天风证券,2023-11-27,装修装饰,https://pdf.dfcfw.com/pdf/H3_AP202311271612386360_1.pdf?1701081364000.pdf
